external_id,name,property_external_id,flat_number,total_rooms
property_adcb_flat_105,Flat 105,property_adcb,105,1
property_adcb_flat_705,Flat 705,property_adcb,705,1
property_al baker_flat_206,Flat 206,property_al baker,206,7
property_al baker_flat_207,Flat 207,property_al baker,207,7
property_al dar_flat_101,Flat 101,property_al dar,101,5
property_al dar_flat_102,Flat 102,property_al dar,102,5
property_al dar_flat_103,Flat 103,property_al dar,103,4
property_al dar_flat_104,Flat 104,property_al dar,104,5
property_al dar_flat_105,Flat 105,property_al dar,105,3
property_al dar_flat_106,Flat 106,property_al dar,106,7
property_al dar_flat_201,Flat 201,property_al dar,201,5
property_al dar_flat_202,Flat 202,property_al dar,202,5
property_al dar_flat_206,Flat 206,property_al dar,206,6
property_al dar_flat_301,Flat 301,property_al dar,301,5
property_al dar_flat_303,Flat 303,property_al dar,303,4
property_al dar_flat_501,Flat 501,property_al dar,501,5
property_al dar_flat_502,Flat 502,property_al dar,502,4
property_al dar_flat_503,Flat 503,property_al dar,503,4
property_al dar_flat_504,Flat 504,property_al dar,504,4
property_al dar_flat_602,Flat 602,property_al dar,602,5
property_al dar_flat_702,Flat 702,property_al dar,702,5
property_b.d_flat_105,Flat 105,property_b.d,105,8
property_b.d_flat_108,Flat 108,property_b.d,108,8
property_b.d_flat_305,Flat 305,property_b.d,305,8
property_b.d_flat_401,Flat 401,property_b.d,401,5
property_b.d_flat_403,Flat 403,property_b.d,403,6
property_b.d_flat_408,Flat 408,property_b.d,408,7
property_b.d_flat_410,Flat 410,property_b.d,410,6
property_b.d_flat_502,Flat 502,property_b.d,502,6
property_b.d_flat_504,Flat 504,property_b.d,504,6
property_b.d_flat_605,Flat 605,property_b.d,605,7
property_b.d_flat_608,Flat 608,property_b.d,608,8
property_b.d_flat_609,Flat 609,property_b.d,609,6
property_deema_flat_103,Flat 103,property_deema,103,12
property_deema_flat_208,Flat 208,property_deema,208,9
property_deema_flat_301,Flat 301,property_deema,301,10
property_deema_flat_302,Flat 302,property_deema,302,12
property_deema_flat_304,Flat 304,property_deema,304,9
property_deema_flat_307,Flat 307,property_deema,307,11
property_deema_flat_405,Flat 405,property_deema,405,15
property_deema_flat_406,Flat 406,property_deema,406,11
property_deema_flat_407,Flat 407,property_deema,407,11
property_deema_flat_503,Flat 503,property_deema,503,15
property_deema_flat_506,Flat 506,property_deema,506,12
property_deema_flat_602,Flat 602,property_deema,602,8
property_deema_flat_603,Flat 603,property_deema,603,7
property_deema_flat_604,Flat 604,property_deema,604,6
property_deema_flat_606,Flat 606,property_deema,606,9
property_deema_flat_610,Flat 610,property_deema,610,10
property_deema_flat_611,Flat 611,property_deema,611,8
property_deema_flat_702,Flat 702,property_deema,702,5
property_deema_flat_703,Flat 703,property_deema,703,7
property_deema_flat_704,Flat 704,property_deema,704,9
property_deema_flat_706,Flat 706,property_deema,706,9
property_deema_flat_710,Flat 710,property_deema,710,8
property_deema_flat_711,Flat 711,property_deema,711,7
property_js_flat_102,Flat 102,property_js,102,2
property_js_flat_104,Flat 104,property_js,104,1
property_js_flat_105,Flat 105,property_js,105,2
property_js_flat_106,Flat 106,property_js,106,1
property_js_flat_107,Flat 107,property_js,107,1
property_js_flat_110,Flat 110,property_js,110,3
property_js_flat_111,Flat 111,property_js,111,1
property_js_flat_112,Flat 112,property_js,112,2
property_js_flat_113,Flat 113,property_js,113,2
property_js_flat_114,Flat 114,property_js,114,1
property_js_flat_201,Flat 201,property_js,201,3
property_js_flat_202,Flat 202,property_js,202,3
property_js_flat_203,Flat 203,property_js,203,1
property_js_flat_204,Flat 204,property_js,204,1
property_js_flat_208,Flat 208,property_js,208,1
property_js_flat_209,Flat 209,property_js,209,3
property_js_flat_212,Flat 212,property_js,212,1
property_js_flat_213,Flat 213,property_js,213,2
property_js_flat_214,Flat 214,property_js,214,1
property_js_flat_301,Flat 301,property_js,301,2
property_js_flat_302,Flat 302,property_js,302,2
property_js_flat_304,Flat 304,property_js,304,1
property_js_flat_305,Flat 305,property_js,305,2
property_js_flat_307,Flat 307,property_js,307,2
property_js_flat_309,Flat 309,property_js,309,3
property_js_flat_310,Flat 310,property_js,310,3
property_js_flat_312,Flat 312,property_js,312,2
property_js_flat_313,Flat 313,property_js,313,1
property_js_flat_314,Flat 314,property_js,314,2
property_js_flat_401,Flat 401,property_js,401,3
property_js_flat_402,Flat 402,property_js,402,3
property_js_flat_403,Flat 403,property_js,403,1
property_js_flat_404,Flat 404,property_js,404,1
property_js_flat_405,Flat 405,property_js,405,2
property_js_flat_406,Flat 406,property_js,406,1
property_js_flat_407,Flat 407,property_js,407,1
property_js_flat_409,Flat 409,property_js,409,3
property_js_flat_410,Flat 410,property_js,410,2
property_js_flat_411,Flat 411,property_js,411,1
property_js_flat_412,Flat 412,property_js,412,1
property_js_flat_413,Flat 413,property_js,413,1
property_js_flat_414,Flat 414,property_js,414,2
