external_id,name,flat_external_id,room_type_standard,room_type
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,attached_bathroom,ATTACH BAL.
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,attached_bathroom,S. ATTACH
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,maid_room,MAID ROOM
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,shared,SHARING
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,hall_partition,HALL PART. BAL
property_adcb_flat_105_room_105,Room 105,property_adcb_flat_105,partition,1ST PART.
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,attached_bathroom,ATTACH BAL.
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,shared,SHARING
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,attached_bathroom,SMALL ATTACH
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,maid_room,MAID ROOM
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,partition,1ST PART.
property_adcb_flat_705_room_705,Room 705,property_adcb_flat_705,partition,PART. BAL.
property_deema_flat_103_room_PART. 1,Room PART. 1,property_deema_flat_103,hall_partition,HALL 1ST PART.
property_deema_flat_103_room_PART. 2,Room PART. 2,property_deema_flat_103,hall_partition,HALL 2ND PART.
property_deema_flat_103_room_PART. 3,Room PART. 3,property_deema_flat_103,other,HALL 3RD PART.
property_deema_flat_103_room_PART. 4,Room PART. 4,property_deema_flat_103,other,HALL PART. 4
property_deema_flat_103_room_BAL. HAL,Room BAL. HAL,property_deema_flat_103,other,K. HALL BAL.
property_deema_flat_103_room_MAID. KITCHE,Room MAID. KITCHE,property_deema_flat_103,other,KITCHEN MAID
property_deema_flat_103_room_MAID. 1,Room MAID. 1,property_deema_flat_103,other,1ST MAID
property_deema_flat_103_room_MAID. 2,Room MAID. 2,property_deema_flat_103,other,2ND MAID
property_deema_flat_103_room_ATTACH. 1,Room ATTACH. 1,property_deema_flat_103,other,1ST ATTACH
property_deema_flat_103_room_ATTACH. LEFT A,Room ATTACH. LEFT A,property_deema_flat_103,other,LEFT ATTACH
property_deema_flat_103_room_PART. A  ,Room PART. A  ,property_deema_flat_103,other,PART. WIND. A
property_deema_flat_103_room_PART. B,Room PART. B,property_deema_flat_103,other,PART. WIND. B
property_deema_flat_208_room_208,Room 208,property_deema_flat_208,other,1BHK
property_deema_flat_208_room_ATTACH. MIDDLE,Room ATTACH. MIDDLE,property_deema_flat_208,other,MIDDLE ATTACH
property_deema_flat_208_room_ATTACH. H,Room ATTACH. H,property_deema_flat_208,other,ATTACH
